1614-gardiner-jake,4.05,31.0,7.65,130645.16
304-savard-marc,0.575,3.0,5.22,191666.67
1645-hagelin-carl,5.0,12.0,2.4,416666.67
130-bieksa-kevin,2.5,15.0,6.0,166666.67
1872-rask-victor,0.75,48.0,64.0,15625.0
800-pouliot-benoit,4.0,36.0,9.0,111111.11
1311-hedman-victor,5.75,47.0,8.17,122340.43
1401-fowler-cam,4.0,28.0,7.0,142857.14
1406-henrique-adam,4.0,50.0,12.5,80000.0
1421-muzzin-jake,3.0,40.0,13.33,75000.0
1468-scandella-marco,3.0,21.0,7.0,142857.14
1284-martinez-alec,3.9,31.0,7.95,125806.45
470-michalek-milan,4.0,10.0,2.5,400000.0
1958-mrazek-petr,0.738,6.0,8.13,123000.0
1618-josi-roman,4.0,61.0,15.25,65573.77
1695-stone-michael,1.45,36.0,24.83,40277.78
381-jokinen-jussi,4.0,60.0,15.0,66666.67
3-hemsky-ales,4.0,39.0,9.75,102564.1
973-bickell-bryan,4.5,2.0,0.44,2250000.0
1584-johansen-ryan,3.0,26.0,8.67,115384.62
470-michalek-milan,4.0,10.0,2.5,400000.0
1086-boedker-mikkel,3.75,12.0,3.2,312500.0
1016-simmonds-wayne,3.8,60.0,15.79,63333.33
1295-carlson-john,4.0,39.0,9.75,102564.1
182-franzen-johan,5.0,22.0,4.4,227272.73
1239-wilson-colin,3.75,24.0,6.4,156250.0
264-gorges-josh,3.9,12.0,3.08,325000.0
688-pavelec-ondrej,4.75,8.0,1.68,593750.0
1674-shaw-andrew,2.5,34.0,13.6,73529.41
688-pavelec-ondrej,4.75,8.0,1.68,593750.0
1328-del-zotto-michael,3.75,32.0,8.53,117187.5
1473-hamonic-travis,3.75,21.0,5.6,178571.43
979-helm-darren,2.5,26.0,10.4,96153.85
60-kunitz-chris,4.0,40.0,10.0,100000.0
1628-eakin-cody,2.3,40.0,17.39,57500.0
2107-murphy-connor,0.833,17.0,20.41,49000.0
1902-rakell-rickard,0.833,43.0,51.62,19372.09
1164-beleskey-matt,4.0,37.0,9.25,108108.11
